Country,Subnational_Regions,Data_Units,Y2015,Y2016,Y2017,Y2018,Y2019,ObjectId
Czech Republic,  Northwest,Micrograms/m3,15.8,15.2,14.8,15.1,14.9,1
Czech Republic,  Northeast,Micrograms/m3,17.1,15.9,16.2,16.2,15.9,2
Czech Republic,  Southeast,Micrograms/m3,16.9,15.8,16.1,16.2,16,3
Czech Republic,  Central Moravia,Micrograms/m3,20.1,19,19.3,19.7,19.6,4
Denmark,,Micrograms/m3,10.2,9.3,10.3,9.9,9.8,5
Denmark,  Zealand,Micrograms/m3,10.1,9.1,10.3,9.8,9.8,6
Denmark,  Central Jutland,Micrograms/m3,10,9.1,10,9.6,9.5,7
Denmark,  Southern Denmark,Micrograms/m3,10.7,9.8,10.8,10.3,10.2,8
Denmark,  Northern Jutland,Micrograms/m3,8.9,8.2,8.7,8.6,8.5,9
Denmark,  Capital City Region,Micrograms/m3,10.5,9.5,10.7,10.3,10.2,10
Estonia,,Micrograms/m3,6.6,6.6,5.7,6,5.9,11
Estonia,  Estonia,Micrograms/m3,6.6,6.6,5.7,6,5.9,12
Finland,,Micrograms/m3,5.7,5.7,5.3,5.7,5.6,13
Finland,  Eastern and Northern Finland,Micrograms/m3,5,4.8,4.5,4.8,4.8,14
Finland,  Helsinki-Uusimaa,Micrograms/m3,6.5,6.6,6.1,6.6,6.5,15
Finland,  Åland,Micrograms/m3,4.7,4.5,4.3,4.6,4.6,16
Finland,  Western Finland,Micrograms/m3,5.5,5.4,5.2,5.5,5.5,17
Finland,  Southern Finland,Micrograms/m3,5.7,5.7,5.4,5.7,5.6,18
France,,Micrograms/m3,12.2,11.4,11.4,11.5,11.4,19
France,  Martinique,Micrograms/m3,10.5,10.5,10.3,10.6,10.6,20
France,  Guadeloupe,Micrograms/m3,9.2,9.3,9,9.3,9.3,21
France,  Mayotte,Micrograms/m3,7.7,7.8,7.7,7.8,7.7,22
France,  La Réunion,Micrograms/m3,5.2,5.5,5.5,5.5,5.5,23
France,  French Guiana,Micrograms/m3,16.5,14.4,14.6,14.4,14.1,24
France,  Île-de-France,Micrograms/m3,14.4,13.4,13.5,13.4,13.2,25
France,  Normandy,Micrograms/m3,11,11,10.8,11,10.9,26
France,  Hauts-de-France,Micrograms/m3,13.5,12.9,13.5,13.2,13.1,27
France,  Grand Est,Micrograms/m3,12.3,11.5,11.2,11.5,11.4,28
France,  Pays de la Loire,Micrograms/m3,10.6,10.5,10,10.2,10.1,29
France,  Brittany,Micrograms/m3,9.5,9.2,9,9.2,9.1,30
France,  Nouvelle-Aquitaine,Micrograms/m3,11,10.1,10,10.2,10.1,31
France,  Occitanie,Micrograms/m3,11.2,10.1,10.2,10.2,10.1,32
France,  Auvergne-Rhône-Alpes,Micrograms/m3,12.8,11.7,11.2,11.7,11.6,33
France,  Corsica,Micrograms/m3,11.7,10.6,10.3,10.4,10.2,34
France,  Centre - Val de Loire,Micrograms/m3,10.9,10.4,10.3,10.4,10.4,35
France,  Bourgogne-Franche-Comté,Micrograms/m3,11.1,10.3,9.9,10.3,10.2,36
France,  Provence-Alpes-Côte d’Azur,Micrograms/m3,14.1,12.6,13,13,12.8,37
Germany,,Micrograms/m3,12.9,11.9,12,12,11.9,38
Germany,  Berlin,Micrograms/m3,17.1,15,16.3,15.9,15.7,39
Germany,  Hamburg,Micrograms/m3,12.6,11.9,12.5,12.3,12.2,40
Germany,  Saarland,Micrograms/m3,10.5,10,9.8,10,9.9,41
Germany,  Baden-Württemberg,Micrograms/m3,12.5,11.8,11.1,11.4,11.2,42
Germany,  Bavaria,Micrograms/m3,12.5,11.7,11.2,11.5,11.4,43
